Vessel Name: 
Metric: Confluence (%)
Cell Type: 
Passage: 0
Notes: 
Analysis: 

Time Stamp:	07.09.2023 07:55:00	Elapsed:	0	hours

	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	28,9983	24,31914	23,99468	27,00406	26,5879	26,47099	24,37643	26,26659	24,14663	25,06324	28,59396	28,05814	26,86401	24,38285	29,13415	25,23356	26,32681	25,06228	26,25307	27,951	27,29218	27,57881	24,89579	26,8117
B	26,62649	25,09089	24,6711	25,2819	22,41361	26,21066	25,1811	23,82355	26,0473	26,35127	23,78824	23,24054	26,02157	26,49646	24,85597	24,29442	27,37728	24,28096	26,37688	24,36113	24,10656	26,85471	25,41302	26,71547
C	25,07505	21,64267	25,4626	23,67611	24,92338	26,17754	24,76132	24,20612	22,49392	24,05587	24,14104	25,39862	24,26068	23,99551	25,58614	22,99095	25,60321	24,40354	26,55815	24,85235	24,64201	26,91317	26,02313	26,1145
D	24,26498	22,99717	23,81106	26,22823	22,94567	21,70523	22,39619	23,1024	23,2034	21,98345	25,01639	24,46891	22,76819	24,616	20,83622	22,7326	22,38854	23,30596	23,43838	23,94633	24,48441	24,45388	22,85067	24,71713
E	25,72027	23,04005	21,94636	22,34607	28,00884	26,2612	25,1542	23,89026	25,09301	25,98503	24,00535	24,79267	23,63083	23,69495	21,95428	24,13509	22,32579	24,18425	21,85731	27,40405	23,65466	23,77117	24,76193	24,09344
F	25,54783	24,59832	23,93376	25,03789	25,44902	21,54236	23,72459	25,83595	24,15373	23,80572	24,24368	22,49474	21,6316	21,94821	21,65018	22,35494	22,80512	25,79566	24,04304	24,63068	21,51374	24,02405	22,96144	24,25078
G	23,01156	24,07329	24,57639	23,25134	25,87651	24,62652	23,29914	22,76216	26,82358	24,25017	25,80468	23,58487	22,02271	23,98738	24,64686	24,43585	25,08919	24,34461	24,52012	24,03804	23,18073	25,21067	23,68492	24,11304
H	24,41536	25,32083	27,29478	23,58002	25,9935	24,82852	23,95514	22,52438	26,49134	24,38094	25,72307	24,9123	22,76272	25,06228	23,3434	24,42014	25,08993	22,80095	22,76818	22,64293	22,92969	24,84074	24,71359	24,5768
I	24,2363	22,50812	21,58476	26,1671	26,80787	21,45972	24,92918	22,57273	25,5005	26,07825	25,21143	25,4501	22,19201	22,51878	24,03232	25,38148	24,96885	26,2978	23,03062	24,89339	27,36124	24,69119	24,14336	32,36642
J	25,24496	24,23555	23,13415	24,68326	24,96297	26,88367	22,35993	27,00462	26,39341	24,59292	25,69151	23,02952	26,04157	25,16867	25,19373	24,37862	24,80401	23,82301	25,90049	23,42624	23,82505	22,83504	23,46858	24,57358
K	24,02986	24,76009	23,05753	26,7281	28,79663	25,49873	23,49233	25,93934	25,62657	24,31538	27,19501	26,17105	25,87946	26,8431	27,83558	27,46906	24,63266	25,01537	24,28711	23,66498	25,60416	25,73611	27,40248	38,67337
L	26,32198	24,54005	28,2189	28,6156	23,50654	24,07214	25,0088	27,97011	24,88158	22,8108	25,56976	26,28258	24,34509	26,4001	25,58935	26,12536	23,80436	24,26191	24,12177	24,46302	24,40751	26,20971	25,38366	24,2949
M	21,76676	24,60774	24,42506	26,39245	25,88745	25,40168	24,16438	22,32831	25,8707	25,99384	25,0818	25,74731	22,60579	24,24607	26,12817	25,97786	25,09015	24,08286	24,79963	26,71655	23,29395	24,87837	26,01583	26,63482
N	26,81871	26,09656	25,54932	25,36734	25,614	27,38056	26,1546	26,72968	25,21771	24,20065	25,79778	23,50784	27,03036	22,69435	24,85153	26,17236	26,19243	27,88517	23,94648	25,95668	25,52748	23,96491	26,63317	24,5271
O	27,61308	22,82827	24,70076	23,74447	26,57138	25,16328	23,42773	25,37991	26,19141	26,40666	26,04362	24,96381	25,50125	25,30594	25,57678	25,86512	29,10416	27,92389	25,54652	27,59164	25,85124	26,94166	27,16448	25,30177
P	27,71389	23,34818	26,85035	24,23753	24,78558	25,90663	26,7421	28,1392	28,04291	28,10506	27,85286	30,32677	29,89694	26,45644	28,25161	27,18915	26,74545	26,59624	28,23241	26,09437	24,42772	27,35125	23,65712	27,5071
