Vessel Name: 
Metric: Confluence (%)
Cell Type: 
Passage: 0
Notes: 
Analysis: 

Time Stamp:		Elapsed:	0	hours

	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	70,76336	53,51329	60,38298	64,78078	66,211	61,50649	62,81755	61,72018	58,73272	64,01469	70,34254	70,17551	65,60609	61,87589	67,95262	62,63474	61,9898	58,47758	62,07483	64,11249	63,96635	67,41204	61,20061	65,95921
B	63,69243	57,51236	63,62946	63,39468	58,56103	62,48341	62,68892	55,28143	62,31588	62,12527	56,52589	61,21087	62,20267	65,2412	61,38897	62,08901	65,15201	58,02468	61,29692	60,11453	59,27002	63,76173	57,35372	63,85694
C	57,29916	49,38367	61,14285	59,39036	64,50865	65,97491	66,48642	58,00121	56,84126	64,49783	60,99567	63,55879	60,80563	61,47491	61,3236	59,12874	59,62406	59,39235	66,60764	62,73006	64,04706	68,77513	65,3039	60,98619
D	59,37568	49,44493	60,60205	64,73579	59,53282	57,16694	59,43558	60,85665	59,40873	58,17648	60,58123	62,34141	59,46008	60,24968	53,58152	58,87865	54,24312	60,92574	62,21379	59,14717	60,11254	61,38687	55,46055	61,16436
E	65,66447	50,91796	56,01323	56,14074	63,35712	61,90375	62,87252	57,63829	63,50325	65,08162	63,23748	59,68734	59,59619	59,41542	56,55109	60,22427	57,00162	62,11819	56,33562	65,77407	60,06302	59,95266	58,7911	60,21852
F	62,02114	56,63619	60,72039	61,63364	62,87165	55,03885	62,90818	66,39921	62,19775	59,71509	61,22008	55,24243	56,63932	56,9099	58,28465	58,23814	58,72711	64,56075	60,41023	61,31023	59,07923	59,7603	58,8508	58,02864
G	57,72337	50,08154	59,59415	57,02605	67,13144	59,78919	60,11644	58,60741	66,37244	64,36025	62,99211	61,09442	61,10077	66,13512	60,30396	61,74969	63,67278	59,38564	60,90608	62,1595	59,01934	63,15465	59,03007	57,83374
H	63,95017	59,02322	68,34271	59,47682	65,47831	62,00174	60,58293	58,75689	66,12935	63,80162	62,7173	65,49551	57,48558	63,04639	57,83258	60,28703	60,41043	57,23127	56,46526	58,1526	60,27789	65,14688	62,37086	63,62292
I	56,69219	43,62564	54,47963	63,63978	65,15221	58,39455	67,58536	61,31255	63,83098	64,97254	65,53103	66,96275	60,17524	57,13587	59,86363	59,05779	63,24001	65,33831	57,24699	60,54488	66,44927	63,80027	60,98066	74,88868
J	65,66653	57,74714	57,92682	63,28083	66,8093	69,60062	62,28331	69,05725	63,6979	63,29038	62,53775	58,75471	70,46445	64,12083	61,69396	62,68418	65,85513	62,17781	62,44877	59,88521	60,8115	58,78326	57,25072	60,45619
K	48,71517	37,56932	51,27895	59,67412	69,8335	64,46384	59,72466	66,89835	66,73473	65,31072	66,6672	67,31807	63,26826	65,27412	71,82596	67,70632	62,04436	63,69257	62,03152	57,22744	62,26672	62,07522	67,3563	71,85171
L	57,61562	50,38155	64,51869	65,93784	58,5133	63,04203	63,24676	70,12012	66,52814	59,46159	67,58448	67,604	62,19283	64,31306	67,24643	63,94565	58,28077	61,42721	64,7366	62,47568	58,59218	63,07747	61,2782	60,59974
M	56,29137	55,98667	61,66929	65,09341	69,96674	64,63853	64,32021	58,76925	62,26166	70,51772	64,3709	65,7497	59,24176	64,69016	66,16702	61,75378	64,48215	61,62321	65,05598	66,98597	58,19088	59,78734	61,17755	65,60916
N	35,36133	28,88241	64,01284	64,45251	70,2317	71,17509	66,06814	70,78944	68,82116	67,03999	68,86322	64,46685	69,11987	60,60574	63,14419	66,89104	66,56059	68,13278	61,18929	67,21079	65,0506	56,49468	65,75932	59,35062
O	61,77898	52,29962	66,04212	61,34553	70,09042	63,67097	59,92644	64,18507	68,44405	62,66681	67,57784	60,0131	63,40005	63,89503	67,36771	64,82101	70,09753	67,96323	64,08769	69,34255	64,5686	65,52993	65,74874	62,34156
P	70,54283	58,57108	64,52305	62,17236	59,88581	61,38753	63,46536	64,45573	65,00272	66,50691	66,0032	71,29281	69,95937	60,90137	66,04485	62,20081	62,15293	62,00447	63,75916	64,77368	58,29744	65,87473	60,07238	70,00997
