Count_Cytoplasm,FileName_Cell,FileName_Green,FileName_Nuclei,FileName_Red,Group_Index,Group_Number,ImageNumber,Math_CellConfluency,Mean_Cytoplasm_Math_RedGreenRatio,Median_Cytoplasm_Math_RedGreenRatio,Metadata_ExperimentName,Metadata_Well,StDev_Cytoplasm_Math_RedGreenRatio
2163,,,,,1,1,1,0.791036129,0.901560897,0.952301722,,A01,0.561795594
1665,,,,,2,1,2,0.580962896,1.101061801,1.150779293,,A02,0.692148256
2177,,,,,3,1,3,0.764639616,0.97354074,0.982276807,,A03,0.719091977
2206,,,,,4,1,4,0.788091421,0.92067985,0.863231984,,A04,0.712652438
2365,,,,,5,1,5,0.803314924,1.03910619,1.06816508,,A05,0.749087306
2165,,,,,6,1,6,0.766867638,0.960799425,0.917565157,,A06,0.729099328
2390,,,,,7,1,7,0.815366268,0.932693455,0.824233721,,A07,0.732751906
2268,,,,,8,1,8,0.798411131,0.916483395,0.802415221,,A08,0.723725245
2397,,,,,9,1,9,0.805557489,0.822068771,0.646441069,,A09,0.683240271
2457,,,,,10,1,10,0.828166246,0.941490945,0.89321354,,A10,0.712283987
2538,,,,,11,1,11,0.877001286,1.04071984,1.023005918,,A11,0.740551872
2313,,,,,12,1,12,0.842716217,0.856705982,0.752495017,,A12,0.66678964
2594,,,,,13,1,13,0.804521084,0.928794376,0.843204896,,A13,0.70708705
2451,,,,,14,1,14,0.811484337,0.839492966,0.741396883,,A14,0.657142456
2356,,,,,15,1,15,0.822464705,0.891049371,0.808078408,,A15,0.676222476
2418,,,,,16,1,16,0.819236994,0.757421033,0.613565569,,A16,0.61068438
2251,,,,,17,1,17,0.760615349,0.838917277,0.74994737,,A17,0.644736021
2267,,,,,18,1,18,0.762503862,0.778144411,0.650062099,,A18,0.633041094
2318,,,,,19,1,19,0.815634489,0.750527762,0.617108454,,A19,0.605260588
2191,,,,,20,1,20,0.771539211,0.751700687,0.614961787,,A20,0.603074717
2300,,,,,21,1,21,0.796040535,0.74220258,0.618545259,,A21,0.60534678
2372,,,,,22,1,22,0.828823566,0.748359405,0.627535493,,A22,0.619898024
2219,,,,,23,1,23,0.7690835,0.722446935,0.609871361,,A23,0.588417699
2448,,,,,24,1,24,0.819402456,0.654141259,0.480428729,,A24,0.565671833
2127,,,,,25,1,25,0.743793011,0.612822608,0.589997224,,B01,0.420784922
1981,,,,,26,1,26,0.707237244,1.005226458,1.043038668,,B02,0.750890664
2295,,,,,27,1,27,0.802292109,0.914337108,0.872475965,,B03,0.71300463
2254,,,,,28,1,28,0.803170919,1.04432973,1.070432575,,B04,0.763435248
2161,,,,,29,1,29,0.765527248,0.946754372,0.868563748,,B05,0.727779155
2303,,,,,30,1,30,0.808427095,1.019327242,0.974561836,,B06,0.734721359
2138,,,,,31,1,31,0.775145531,0.682988539,0.653623487,,B07,0.473379318
2076,,,,,32,1,32,0.762315273,0.752263017,0.646324066,,B08,0.577444222
2051,,,,,33,1,33,0.789235592,0.588129303,0.532561074,,B09,0.411525223
2354,,,,,34,1,34,0.813020468,0.897444767,0.770452953,,B10,0.715753876
1767,,,,,35,1,35,0.601970196,0.443999568,0.395265908,,B11,0.281078
2446,,,,,36,1,36,0.786869049,0.910875984,0.807156899,,B12,0.727409297
2272,,,,,37,1,37,0.798280954,0.856378119,0.732633793,,B13,0.664853594
2386,,,,,38,1,38,0.838426828,0.844164782,0.705263871,,B14,0.673279415
2423,,,,,39,1,39,0.792980671,0.742661214,0.625463875,,B15,0.573538889
2246,,,,,40,1,40,0.795487165,0.77462629,0.65342339,,B16,0.634324058
2329,,,,,41,1,41,0.834642172,0.816727115,0.72798085,,B17,0.633740662
2180,,,,,42,1,42,0.742486238,0.879388128,0.763730279,,B18,0.674456303
2503,,,,,43,1,43,0.775404692,0.812577821,0.661586316,,B19,0.660239323
2229,,,,,44,1,44,0.778043032,0.800122251,0.676245741,,B20,0.615216341
2226,,,,,45,1,45,0.743500948,0.779352714,0.657463393,,B21,0.622380022
2340,,,,,46,1,46,0.800689459,0.66057837,0.566923775,,B22,0.503780724
2271,,,,,47,1,47,0.774699211,0.779600532,0.638821147,,B23,0.635012048
2404,,,,,48,1,48,0.815175295,0.7452426,0.595002311,,B24,0.61909714
1923,,,,,49,1,49,0.66835928,0.704645405,0.672793287,,C01,0.482047137
1832,,,,,50,1,50,0.627620459,0.976529695,0.995020335,,C02,0.696659252
2155,,,,,51,1,51,0.760073662,1.078920757,1.145612266,,C03,0.785367779
2156,,,,,52,1,52,0.744338036,1.12269839,1.156793253,,C04,0.797512101
2351,,,,,53,1,53,0.787652969,1.067746863,1.096605804,,C05,0.776494234
2306,,,,,54,1,54,0.816527843,1.019827698,0.94965099,,C06,0.770359482
2270,,,,,55,1,55,0.80652523,1.005725517,0.9497534,,C07,0.745725209
2146,,,,,56,1,56,0.756038189,0.94445453,0.843592959,,C08,0.735591757
2149,,,,,57,1,57,0.727588654,0.903635655,0.774645099,,C09,0.749090216
2114,,,,,58,1,58,0.772400856,0.914179523,0.871770011,,C10,0.654796036
2316,,,,,59,1,59,0.748684406,0.917231851,0.806307018,,C11,0.729583965
2325,,,,,60,1,60,0.776417971,0.936948884,0.894797038,,C12,0.702913387
2238,,,,,61,1,61,0.751524925,0.921060274,0.842501991,,C13,0.699313974
2261,,,,,62,1,62,0.757739782,0.833424395,0.662931666,,C14,0.684931526
2398,,,,,63,1,63,0.776316166,0.904085434,0.747937748,,C15,0.731884405
