Vessel Name: 
Metric: Neurite Length [Phase] (mm/mm²)
Cell Type: 
Passage: 0
Notes: 
Analysis: 

Time Stamp:		Elapsed:	0	hours

	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	4,026212	4,757819	8,318582	8,819892	9,356687	9,810668	12,71489	12,6205	11,41824	13,02223	14,62953	16,12852	17,5021	16,94843	15,80548	16,33915	15,19552	16,66708	15,79722	17,43843	15,93816	16,82939	17,23847	15,76619
B	6,716189	3,195792	8,263337	8,309649	12,48251	12,32788	13,91476	14,40604	15,93502	16,44043	16,26221	15,16222	16,9443	16,21818	15,28086	17,31045	17,67218	15,2134	17,79722	16,94983	15,61461	16,66401	17,33138	16,90947
C	7,344448	5,770799	5,953062	9,582855	13,30327	14,86818	15,08633	15,6441	15,42203	13,26383	15,66242	17,73882	17,42214	15,95163	16,4054	17,13134	16,50517	16,84237	17,01045	16,38369	17,29046	16,01911	18,28063	15,38739
D	10,48361	10,8404	12,79768	12,82246	14,14131	15,31261	15,60501	16,29104	17,79815	16,12331	17,96253	17,55673	16,57124	17,45898	17,26806	16,88352	17,36955	16,60226	16,0921	15,64276	17,08814	15,85405	15,38745	16,04263
E	8,516127	9,314802	11,63857	11,98054	12,98135	14,85083	15,08701	13,64379	13,78485	13,0618	16,92887	15,60006	17,14745	16,27493	16,08299	15,84499	16,35629	15,29539	16,21188	16,6097	17,14937	15,64797	15,6701	17,35596
F	10,34625	10,47327	14,16842	13,73151	12,76466	15,78932	16,34911	16,98755	16,21506	15,87827	18,20682	18,12121	17,05503	18,20933	15,43783	15,36225	16,59948	16,33935	14,95324	16,87101	15,76116	17,01694	17,09338	16,06831
G	1,640238	1,74109	7,889933	9,772443	11,81226	13,57524	13,55302	14,12959	13,1891	14,20851	16,94997	15,41707	16,05369	14,88002	14,97258	15,12357	17,62639	15,06709	16,40453	15,89374	15,74318	15,28279	16,24947	17,64718
H	9,924084	10,92832	13,79128	12,26439	15,22889	14,24113	14,82009	15,3259	16,98051	17,1442	18,08315	16,95718	17,20791	16,16577	17,45864	15,91522	16,20066	16,55628	17,05105	17,50275	14,82633	15,35349	18,37398	17,15979
I	6,891175	6,408294	8,721638	11,8216	13,71778	13,89178	14,71879	15,73301	14,20762	14,18649	15,77164	16,86834	18,00754	17,76975	17,5973	17,11799	16,0677	16,09128	17,10687	15,72789	16,87664	16,38661	17,47065	17,90617
J	10,58587	7,766034	14,31301	11,66401	15,68853	14,63956	12,59339	15,72243	17,68728	16,01819	15,41598	16,82933	18,85394	16,46624	17,32424	16,25751	17,55493	15,83346	17,39114	15,22753	16,93505	17,26481	16,47233	15,36447
K	8,864584	11,02582	9,471393	13,08388	13,24625	14,78225	14,39759	14,80876	15,37188	14,17207	16,59142	17,30046	18,77427	16,35627	17,31623	17,05214	20,03424	18,16967	17,15819	16,66968	15,49065	17,27467	18,21447	17,6085
L	2,689057	2,53581	9,033882	11,90727	12,48813	11,61418	13,75091	14,1551	17,4667	14,98823	17,08464	16,22461	17,67018	16,6774	18,46734	15,1435	17,26453	16,33178	17,40294	17,80911	15,43931	15,91666	18,0351	16,61573
M	7,879062	8,462391	9,106013	10,47953	12,8485	14,77816	15,16379	13,05281	14,87012	16,35554	18,31612	16,78587	19,64637	17,0459	16,92273	17,57403	16,36082	17,5895	16,13356	16,72343	17,7898	15,80318	16,05285	17,36691
N	17,18525	17,25846	18,02197	17,92015	17,96921	18,55765	18,0456	18,58494	17,71667	18,69797	17,9744	17,68428	17,37092	17,83554	17,73314	18,3023	18,26468	15,94996	16,86108	17,00548	15,10839	14,63809	15,8016	18,05271
O	5,663347	7,229267	6,875901	5,96821	9,969344	9,267198	12,9689	12,04089	17,78368	13,84721	17,04217	16,38618	17,01631	18,75636	16,99859	16,61382	17,14557	15,39114	17,407	15,55056	17,37	16,6874	18,10533	15,44669
P	0,8058146	0,7272697	0,6706208	0,83745	0,8075517	0,7345335	1,241503	1,604153	3,337154	2,924933	4,256472	4,137452	3,79004	4,193707	4,562759	5,124515	7,699044	7,674976	7,465187	6,329697	7,949485	8,349026	18,03716	15,79305
